date,product,region,sales,cost
2022-01-01,Keyboard,East,2035,1564.8
2022-01-01,Mouse,Central,714,358.12
2022-01-01,Keyboard,East,2013,1620.43
2022-01-01,Mouse,East,1252,1010.51
2022-01-01,Monitor,North,1468,1180.45
2022-01-01,Mouse,Central,1317,731.02
2022-01-01,Keyboard,South,3889,2448.11
2022-01-01,Keyboard,South,715,371.22
2022-01-01,Tablet,West,3730,3129.14
2022-01-01,Monitor,East,3844,2127.39
2022-01-01,Headphones,South,493,367.86
2022-01-01,Monitor,South,3517,2195.92
2022-01-01,Monitor,East,2405,1934.75
2022-01-01,Mouse,West,4641,3680.17
2022-01-01,Keyboard,North,911,712.5
2022-01-01,Mouse,Central,3766,2402.66
2022-01-01,Tablet,Central,325,169.45
2022-01-01,Keyboard,North,4556,3005.79
2022-01-01,Headphones,East,4892,2949.54
2022-01-01,Tablet,South,630,423.89
2022-01-01,Monitor,South,417,250.21
2022-01-01,Headphones,East,327,269.91
2022-01-01,Monitor,Central,793,427.57
2022-01-01,Monitor,East,3146,1823.43
2022-01-01,Laptop,South,4567,3486.35
2022-01-01,Headphones,South,4498,2776.76
2022-01-01,Tablet,West,2932,1708.46
2022-01-01,Laptop,Central,645,353.32
2022-01-01,Headphones,North,4726,2501.57
2022-01-01,Headphones,South,1054,880.85
2022-01-01,Mouse,West,4708,2514.3
2022-01-01,Laptop,North,1453,834.24
2022-01-01,Mouse,Central,4493,2799.25
2022-01-01,Laptop,North,4386,2589.78
2022-01-01,Tablet,North,1777,1041.8
2022-01-01,Mouse,East,870,705.42
2022-01-01,Phone,West,338,262.33
2022-01-01,Monitor,South,1422,839.1
2022-01-01,Phone,North,1565,1113.71
2022-01-01,Laptop,North,3714,2752.47
2022-01-01,Headphones,East,2034,1686.94
2022-01-01,Monitor,South,3886,2493.66
2022-01-01,Phone,East,4272,2829.96
2022-01-01,Monitor,East,1087,576.69
2022-01-01,Monitor,North,366,192.11
2022-01-01,Headphones,South,2316,1655.77
2022-01-01,Tablet,East,4020,2304.85
2022-01-01,Headphones,Central,4511,3600.39
2022-01-01,Mouse,Central,747,377.19
2022-01-01,Keyboard,West,4361,2191.98
2022-01-01,Laptop,South,163,89.43
2022-01-01,Phone,East,1387,715.75
2022-01-01,Monitor,West,2910,1884.85
2022-01-01,Laptop,West,2995,2038.54
2022-01-01,Monitor,East,4932,2850.5
2022-01-01,Mouse,East,2693,1530.77
2022-01-01,Laptop,Central,564,442.66
2022-01-01,Tablet,West,141,81.14
2022-01-01,Phone,West,803,639.98
2022-01-01,Tablet,South,4772,3655.17
2022-01-01,Headphones,West,4132,3413.16
2022-01-01,Headphones,West,2304,1363.17
2022-01-01,Phone,North,2499,1743.69
2022-01-01,Keyboard,South,2712,1683.02
2022-01-01,Headphones,North,487,381.03
2022-01-01,Mouse,North,3054,1657.46
2022-01-01,Tablet,North,2761,1902.02
2022-01-01,Keyboard,East,104,77.12
2022-01-01,Headphones,West,3454,2785.73
2022-01-01,Mouse,West,232,139.95
2022-01-01,Laptop,South,180,117.52
2022-01-01,Keyboard,South,543,445.97
2022-01-01,Headphones,Central,397,289.54
2022-01-01,Laptop,South,594,411.62
2022-01-01,Monitor,West,4417,2646.64
2022-01-01,Monitor,Central,2606,1948.18
2022-01-01,Laptop,West,3611,2094.81
2022-01-01,Mouse,Central,3578,2516.37
2022-01-01,Laptop,Central,2998,2415.43
2022-01-01,Keyboard,East,3285,2392.73
2022-01-01,Monitor,East,1490,1129.8
2022-01-01,Laptop,North,3283,2630.28
2022-01-01,Monitor,West,3050,2152.62
2022-01-01,Headphones,East,4669,2513.24
2022-01-01,Tablet,Central,4633,3620.5
2022-01-01,Tablet,East,4158,3010.59
2022-01-01,Phone,South,3282,2108.33
2022-01-01,Keyboard,North,1663,904.37
2022-01-01,Keyboard,East,2416,1471.78
2022-01-01,Headphones,Central,1733,903.82
2022-01-01,Laptop,East,4739,3888.85
2022-01-01,Headphones,South,1142,626.12
2022-01-01,Phone,West,2510,1998.55
2022-01-02,Monitor,West,3327,2290.73
2022-01-02,Tablet,East,1623,1210.42
2022-01-02,Tablet,South,4966,2524.53
2022-01-02,Laptop,West,1776,1143.46
2022-01-02,Laptop,West,3841,2615.63
2022-01-02,Phone,South,1211,759.93
2022-01-02,Headphones,South,2854,2401.39
2022-01-02,Keyboard,West,4907,2484.43
2022-01-02,Keyboard,North,1171,680.94
